epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
131,2907.38,2.4278,2.33791,1.86509,0.21999,0.37805,0.19764,0.0602,2.29366,2.47563,1.85327,0.0009704,0.0009704,0.0009704,
132,2929.79,2.39426,2.51071,1.94659,0.4115,0.28049,0.26886,0.07551,2.30114,2.4086,1.82474,0.00096248,0.00096248,0.00096248,
133,2957.42,2.31119,2.42922,1.80528,0.4115,0.28049,0.26886,0.07551,2.30114,2.4086,1.82474,0.00095456,0.00095456,0.00095456,
134,2985.45,2.20262,2.3301,1.76229,0.46305,0.35366,0.33333,0.10284,2.23527,2.30327,1.76156,0.00094664,0.00094664,0.00094664,
135,3013.38,2.19141,2.11776,1.71692,0.56223,0.42683,0.41575,0.13176,2.19326,2.17754,1.723,0.00093872,0.00093872,0.00093872,
136,3041.26,2.4492,2.38033,1.90879,0.63282,0.44141,0.474,0.15719,2.17446,2.05284,1.69567,0.0009308,0.0009308,0.0009308,
137,3062.6,2.46133,2.43369,1.92569,0.63282,0.44141,0.474,0.15719,2.17446,2.05284,1.69567,0.00092288,0.00092288,0.00092288,
138,3081.44,2.4562,2.36851,1.89825,0.70752,0.47561,0.52578,0.16787,2.16433,2.00187,1.66984,0.00091496,0.00091496,0.00091496,
139,3100.79,2.47722,2.45415,1.94733,0.65971,0.47288,0.4693,0.15642,2.20151,1.99525,1.66614,0.00090704,0.00090704,0.00090704,
140,3125.41,2.26764,2.24526,1.82988,0.64675,0.46341,0.46595,0.15488,2.18155,2.00633,1.65764,0.00089912,0.00089912,0.00089912,
141,3154.66,2.28671,2.16066,1.76333,0.64675,0.46341,0.46595,0.15488,2.18155,2.00633,1.65764,0.0008912,0.0008912,0.0008912,
142,3183.07,2.31568,2.26444,1.79326,0.55516,0.43902,0.43386,0.13016,2.20504,2.07793,1.6677,0.00088328,0.00088328,0.00088328,
143,3204.95,2.29992,2.58665,1.82476,0.54027,0.41463,0.40218,0.11776,2.24218,2.17925,1.69612,0.00087536,0.00087536,0.00087536,
144,3224.2,2.27537,2.32113,1.81161,0.47647,0.37737,0.34655,0.09927,2.35914,2.31576,1.76228,0.00086744,0.00086744,0.00086744,
145,3243.19,2.31419,2.29841,1.80747,0.47647,0.37737,0.34655,0.09927,2.35914,2.31576,1.76228,0.00085952,0.00085952,0.00085952,
146,3265.99,2.30418,2.32453,1.80659,0.45709,0.37992,0.36087,0.09894,2.4168,2.3452,1.79584,0.0008516,0.0008516,0.0008516,
147,3293.86,2.25455,2.25876,1.78275,0.45875,0.39281,0.38855,0.11351,2.36432,2.24394,1.76916,0.00084368,0.00084368,0.00084368,
148,3314.54,2.2532,2.52229,1.8079,0.51736,0.37911,0.41184,0.13108,2.29238,2.17683,1.75274,0.00083576,0.00083576,0.00083576,
149,3333.76,2.25929,2.14569,1.77665,0.51736,0.37911,0.41184,0.13108,2.29238,2.17683,1.75274,0.00082784,0.00082784,0.00082784,
150,3353.33,2.14719,2.26174,1.76425,0.61399,0.37805,0.45709,0.13658,2.25598,2.13761,1.73605,0.00081992,0.00081992,0.00081992,
151,3373.44,2.18939,2.28762,1.78999,0.62538,0.41463,0.49477,0.14749,2.18842,2.11937,1.71186,0.000812,0.000812,0.000812,
152,3392.85,2.30803,2.19838,1.79085,0.53083,0.48296,0.5133,0.1604,2.17146,2.10843,1.69801,0.00080408,0.00080408,0.00080408,
153,3411.85,2.11216,2.1382,1.76884,0.53083,0.48296,0.5133,0.1604,2.17146,2.10843,1.69801,0.00079616,0.00079616,0.00079616,
154,3430.98,2.25448,2.16546,1.78391,0.51612,0.5122,0.49884,0.16755,2.19117,2.08584,1.68706,0.00078824,0.00078824,0.00078824,
155,3456.95,2.24996,2.40905,1.85168,0.50153,0.47561,0.49142,0.16662,2.2297,2.07931,1.69142,0.00078032,0.00078032,0.00078032,
